TOW,OSNMA40,source_prn,is_zero_fill,reason
303555,0101001011110100100100011110111011111000,34,false,use_existing_source
303557,0010000110100011001000101100111110000011,34,false,use_existing_source
303559,0011001010011111001101000000101011001101,34,false,use_existing_source
303561,0001001000000110000011111011101011111100,34,false,use_existing_source
303563,1110111100000010000110110001010100111011,34,false,use_existing_source
303565,1000100101111011001101010001000000010101,34,false,use_existing_source
303567,1000110110001101100011100110110101001000,34,false,use_existing_source
303569,1010100100011000010111010000000000000000,34,false,use_existing_source
303571,1001001001110100011011110011111111001011,34,false,use_existing_source
303573,1011011010010111000001101111111100001010,34,false,use_existing_source
303575,1001001011011000011100100001000011111110,34,false,use_existing_source
303577,0000000100001011000011111011000000110100,34,false,use_existing_source
303579,1100101100010101000010011100111000011011,34,false,use_existing_source
303581,0111110100001111111110101100101001101111,34,false,use_existing_source
303583,0110111001010100111101100010001011001111,34,false,use_existing_source
303585,1000011001001000010110011011010101101001,34,false,use_existing_source
303587,0110101010111110000010010000111111101101,34,false,use_existing_source
303589,1110001100010111011010110000001100101110,34,false,use_existing_source
303591,0001111100011011110011110100000110100101,34,false,use_existing_source
303593,0101011010110110001101111110001001110101,34,false,use_existing_source
303595,0111000011101111111111001111001100101110,34,false,use_existing_source
303597,0100000011111101100100100010111110101100,34,false,use_existing_source
303599,0010101100111011010000010000000000000000,34,false,use_existing_source
303601,1001001011001101000001000010011110010010,34,false,use_existing_source
303603,1011011111100110011000011010111101111010,34,false,use_existing_source
303605,1000100111001100101111100010011101101100,34,false,use_existing_source
303607,1001100100011011000011110001111011010111,34,false,use_existing_source
303609,0001010000101101010011111110110100100010,34,false,use_existing_source
303611,1100000001001111000001111100010010100011,34,false,use_existing_source
303613,0101100101100101010000010000100100001111,34,false,use_existing_source
303615,0111010101011010101001010100000101111100,34,false,use_existing_source
303617,1011110100011000001000101100111100010111,34,false,use_existing_source
303619,1011011000101110111010000110111100010001,34,false,use_existing_source
303621,0100011100000110000011110100111100001000,34,false,use_existing_source
303623,1100110101011010001000110110111110001101,34,false,use_existing_source
303625,0101001011001010110010010100011111001000,34,false,use_existing_source
303627,1110010110010000000011101001000111111011,34,false,use_existing_source
303629,0010110010010011110110010000000000000000,34,false,use_existing_source
303631,1001001000100000111111111000111110001010,34,false,use_existing_source
303633,1011000011001111101111011111111110101100,34,false,use_existing_source
303635,0010001010111001100111101101000110010110,34,false,use_existing_source
303637,0101000000001011000011110011011110110110,34,false,use_existing_source
303639,0100100100101101001000100110010100011011,34,false,use_existing_source
303641,0010001000001111010010010101001111111001,34,false,use_existing_source
303643,0000010111111111111011100010001011001111,34,false,use_existing_source
303645,0111001010000001100000111001001111001101,34,false,use_existing_source
303647,0101010010111000000010010000111111001110,34,false,use_existing_source
303649,1100010101011010001101001000110011010001,34,false,use_existing_source
303651,1110111100011011110011110011101100000011,34,false,use_existing_source
303653,1110001110011100010100011100100100011101,34,false,use_existing_source
303655,0011011001101110011111010011111000011000,34,false,use_existing_source
303657,0110100000000110100010001101001000011011,34,false,use_existing_source
303659,1111001011001101100111100000000000000000,34,false,use_existing_source
303661,1001001000011101101111000000101001001001,34,false,use_existing_source
303663,1011000100011000110100110101111111001001,34,false,use_existing_source
303665,1011101011011010110010000010000101011000,34,false,use_existing_source
303667,0001111100011011000011111010011010111111,34,false,use_existing_source
303669,1011101010101010001011110000110100100010,34,false,use_existing_source
303671,1110100101001111101010100111110010100110,34,false,use_existing_source
303673,1101011000110001011110110000100100001111,34,false,use_existing_source
303675,1110001101111010001110000101101110101101,34,false,use_existing_source
303677,0000100100111000001000101100111100010100,34,false,use_existing_source
303679,1110110101111010010001010010001111100110,34,false,use_existing_source
303681,0000011000000110000011111101010100011111,34,false,use_existing_source
303683,1011100001100110001011110011011000101011,34,false,use_existing_source
303685,1010100110011000111001111010010001001100,34,false,use_existing_source
303687,0011011010000101101110010010010011101001,34,false,use_existing_source
303689,1000111000000000111101100000000000000000,34,false,use_existing_source
303691,1001001000100110011011001000111101111100,34,false,use_existing_source
303693,1101100010111101000110111001000111001010,34,false,use_existing_source
303695,0001001001001011110001110100010100000011,34,false,use_existing_source
303697,1001001000001011000011110101000011111000,34,false,use_existing_source
303699,1001011100011010111100000000000000011011,34,false,use_existing_source
303701,1001111000001111111001011011001010111100,34,false,use_existing_source
303703,0101101100001000110100010010001011000001,34,false,use_existing_source
303705,1000110111001011011000010111100010010101,34,false,use_existing_source
303707,0000010011110011000010010000111101100100,34,false,use_existing_source
303709,0101011100010011111111000011110000111011,34,false,use_existing_source
303711,1000011100011011110011110011011100101011,34,false,use_existing_source
303713,1111101010111100000101010010100100110011,34,false,use_existing_source
303715,1001011011100010101111010010110010110100,34,false,use_existing_source
303717,0111110010010011110101000000101111000001,34,false,use_existing_source
303719,0101011110111110110010000000000000000000,34,false,use_existing_source
303721,1001001010011001011010100101111101101010,34,false,use_existing_source
303723,1101100101101110010001010111001000110000,34,false,use_existing_source
303725,1100110001001111000011100111111000111000,34,false,use_existing_source
303727,0010001100011011000011110000101111101100,34,false,use_existing_source
303729,0110001101010010010010110111100100100010,34,false,use_existing_source
303731,1000101001000001000101000011101001001111,34,false,use_existing_source
303733,0011000001011010001110010000100100001111,34,false,use_existing_source
303735,0010001111011011001010110111011011010100,34,false,use_existing_source
303737,0111011010100011001000101100001010110011,34,false,use_existing_source
303739,0001010000001100101101001000010110000101,34,false,use_existing_source
303741,1110110100000110000011111000101001111101,34,false,use_existing_source
303743,1101100101110011010110111100010001011001,34,false,use_existing_source
303745,0001011111100101010100011011111110111111,34,false,use_existing_source
303747,0001101001001111010100000101000000001111,34,false,use_existing_source
303749,0001001011011110100100010000000000000000,34,false,use_existing_source
303751,1001001011010111010101011111000010010010,34,false,use_existing_source
303753,1101101011000111111000111101001110001110,34,false,use_existing_source
303755,0000001010100100101001001011101010011101,34,false,use_existing_source
303757,0010000100001011000011110011000111111000,34,false,use_existing_source
303759,1001001000101010000000011100001100011011,34,false,use_existing_source
303761,0000010000001111111110010001100110100110,34,false,use_existing_source
303763,1011010110010001110011010010001011000011,34,false,use_existing_source
303765,1100101011000000010110000001010101110000,34,false,use_existing_source
303767,0110110001100011000010010000111101010110,34,false,use_existing_source
303769,0100011001100001100000001010001101110000,34,false,use_existing_source
303771,1011011000011011110011110000010111100001,34,false,use_existing_source
303773,0010001100101010010110000001101110010010,34,false,use_existing_source
303775,1110111000010111101010100010011011101100,34,false,use_existing_source
303777,1110110111110011011000101001000001011100,34,false,use_existing_source
303779,0110110000100000000110000000000000000000,34,false,use_existing_source
303781,1001001001111111111110110101101000001000,34,false,use_existing_source
303783,1101101111111101000010101011010011110100,34,false,use_existing_source
303785,1101110101110000001000100001100000100111,34,false,use_existing_source
303787,0010110000011011000011110000110011011101,34,false,use_existing_source
303789,1101110100100110011110110100000100100010,34,false,use_existing_source
303791,1011000101000011001111110000000111101011,34,false,use_existing_source
303793,1111011110001011110110000000100100001111,34,false,use_existing_source
303795,1101011011001100011100000101011100101000,34,false,use_existing_source
303797,1010011111101011001000101100010000100111,34,false,use_existing_source
303799,0101001101000000101111101100101110010111,34,false,use_existing_source
303801,0010011100000110000011110011010110011001,34,false,use_existing_source
303803,0110011110000111011001100011011010000110,34,false,use_existing_source
303805,1110010110001101101101110111011000010110,34,false,use_existing_source
303807,1011100000001001100010111001111110011010,34,false,use_existing_source
303809,1101101011110011000001100000000000000000,34,false,use_existing_source
303811,1001001001001000010010001010101000100010,34,false,use_existing_source
303813,1101110000111001001000010010010101100100,34,false,use_existing_source
303815,0000110101010111010100000010010100101001,34,false,use_existing_source
303817,1110000100001011000011110000110111111010,34,false,use_existing_source
303819,1110101110111110010111010100001000011011,34,false,use_existing_source
303821,1101011000001111111010101100000010011010,34,false,use_existing_source
303823,1001010101111101000111100010001011000101,34,false,use_existing_source
303825,1111110000010010111011101000101101000011,34,false,use_existing_source
303827,1001100111011010000010010000111101001000,34,false,use_existing_source
303829,1111100110111000000111111110001101000010,34,false,use_existing_source
303831,1010000100011011110011110100001000001110,34,false,use_existing_source
303833,1111000110010011110111001010001110011000,34,false,use_existing_source
303835,1100001001111100000000011100000100100000,34,false,use_existing_source
303837,1100010101011100100010011000000011011000,34,false,use_existing_source
303839,0111111011001111010101100000000000000000,34,false,use_existing_source
303841,1001001000111100101101011001100011000011,34,false,use_existing_source
303843,1101000010110010001101101110011001111101,34,false,use_existing_source
303845,0111000111111010110011010010010001100011,34,false,use_existing_source
303847,0111101100011011000011110011001000110001,34,false,use_existing_source
303849,1001010000101110100010001011110000100010,34,false,use_existing_source
303851,0100111101000101001100110010110110000100,34,false,use_existing_source
303853,1010001010011000011110000000100100001111,34,false,use_existing_source
303855,0000100101000011010100101100000111010001,34,false,use_existing_source
303857,0001010100001111001000101100011010111010,34,false,use_existing_source
303859,1100011111101101010001110000101110100101,34,false,use_existing_source
303861,1001001100000110000011110010000000110010,34,false,use_existing_source
303863,0001110100011101000000010000111110110000,34,false,use_existing_source
303865,0100100000010010000011010111101011111000,34,false,use_existing_source
303867,1101110101100010101100100101101011001101,34,false,use_existing_source
303869,0000000111111101011101010000000000000000,34,false,use_existing_source
303871,1001001000011101011010001010001010101100,34,false,use_existing_source
303873,1101000101110000100010101011011101000000,34,false,use_existing_source
303875,0110110110110111110010010101010111010101,34,false,use_existing_source
303877,1001010000001011000011110101000000110010,34,false,use_existing_source
303879,1111100111001110010110101101100100011011,34,false,use_existing_source
303881,1100011000001111010101010111100111111001,34,false,use_existing_source
303883,0011100011110010000001100010001011000111,34,false,use_existing_source
303885,0001111111000110011000000111000100110101,34,false,use_existing_source
303887,1101001111100000000010010000111110000001,34,false,use_existing_source
303889,0111110101000111000101101111110101101010,34,false,use_existing_source
303891,1100011000011011110011111111011000011101,34,false,use_existing_source
303893,1100000100101101000110110101110010000111,34,false,use_existing_source
303895,0010010110110100101011101110111101001110,34,false,use_existing_source
303897,1101100100001101001011101000100101100010,34,false,use_existing_source
303899,0111000001111011110111010000000000000000,34,false,use_existing_source
303901,1001001001011101000001110101000101011111,34,false,use_existing_source
303903,1101001001001011010100101100100010100001,34,false,use_existing_source
303905,0001010110111101101001100101001010101110,34,false,use_existing_source
303907,0010011100011011000011110001110000110100,34,false,use_existing_source
303909,0010111110000010001111010100000100100010,34,false,use_existing_source
303911,1101110101000111111010111000110101100000,34,false,use_existing_source
303913,1110010010111101101100100000100100001111,34,false,use_existing_source
303915,0001001111111111111001111101011110100011,34,false,use_existing_source
303917,1001001101100111001000101100100001100110,34,false,use_existing_source
